split,sample_index,hard_case_type,defect_type,component_type_combination,polygon_mask_iou,polygon_dice,target_area,pred_area,area_diff,true_component_count,pred_component_count,presence_correct,present_type_correct,present_vertex_mae_mean,present_vertex_mae_max
train,0,x_bin_wrong_like,rotated_rect,rotated_rect,0.7669491525423728,0.86810551558753,189,228,39,1,1,True,True,0.00016678072279319167,0.00016678072279319167
train,1,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.7598566308243727,0.8635437881873728,224,267,43,1,1,True,True,0.0001846486993599683,0.0001846486993599683
train,2,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.8241758241758241,0.9036144578313253,238,260,22,1,1,True,True,0.00018114104750566185,0.00018114104750566185
train,3,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.7703703703703704,0.8702928870292888,210,268,58,1,1,True,True,0.000212137121707201,0.000212137121707201
train,4,x_bin_wrong_like,rotated_rect,rotated_rect,0.7782258064516129,0.8752834467120182,217,224,7,1,1,True,True,0.00016565501573495567,0.00016565501573495567
train,5,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.8188679245283019,0.9004149377593361,224,258,34,1,1,True,True,0.000178128742845729,0.000178128742845729
train,6,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.8072289156626506,0.8933333333333333,204,246,42,1,1,True,True,0.000183439115062356,0.000183439115062356
train,7,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.8947368421052632,0.9444444444444444,245,259,14,1,1,True,True,0.00018924726464319974,0.00018924726464319974
train,8,x_bin_wrong_like,rotated_rect,rotated_rect,0.8059701492537313,0.8925619834710744,228,256,28,1,1,True,True,0.00017481125541962683,0.00017481125541962683
train,9,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.807843137254902,0.8937093275488069,224,237,13,1,1,True,True,0.00021628313697874546,0.00021628313697874546
train,10,both_bins_wrong_like,rotated_rect,rotated_rect,0.8131868131868132,0.896969696969697,84,81,-3,1,1,True,True,0.0001218866091221571,0.0001218866091221571
train,11,both_bins_wrong_like,multi_defect,rotated_rect|rectangular_notch,0.7757847533632287,0.8737373737373737,184,212,28,2,2,True,True,0.00017526078590890393,0.00019468039681669325
train,12,both_bins_wrong_like,rotated_rect,rotated_rect,0.6166666666666667,0.7628865979381443,88,106,18,1,1,True,True,0.00015374267240986228,0.00015374267240986228
train,13,both_bins_wrong_like,multi_defect,rotated_rect|rectangular_notch,0.7326732673267327,0.8457142857142858,160,190,30,2,2,True,True,0.00022130434081191197,0.0002513574145268649
train,14,both_bins_wrong_like,rotated_rect,rotated_rect,0.7638888888888888,0.8661417322834646,120,134,14,1,1,True,True,0.0001921406073961407,0.0001921406073961407
train,15,bins_correct_center_or_offset_bad,rotated_rect,rotated_rect,0.6041666666666666,0.7532467532467533,76,78,2,1,1,True,True,0.00019561409135349095,0.00019561409135349095
train,16,bins_correct_center_or_offset_bad,rotated_rect,rotated_rect,0.7721518987341772,0.8714285714285714,63,77,14,1,1,True,True,0.00014646683121100068,0.00014646683121100068
train,17,bins_correct_center_or_offset_bad,rectangular_notch,rectangular_notch,0.7,0.8235294117647058,63,90,27,1,1,True,True,0.00016873219283297658,0.00016873219283297658
train,18,bins_correct_center_or_offset_bad,rotated_rect,rotated_rect,0.7884615384615384,0.8817204301075269,92,94,2,1,1,True,True,0.00013020989717915654,0.00013020989717915654
train,19,bins_correct_center_or_offset_bad,rotated_rect,rotated_rect,0.6636363636363637,0.7978142076502732,92,91,-1,1,1,True,True,0.00010863173520192504,0.00010863173520192504
train,20,bins_correct_center_or_offset_bad,rectangular_notch,rectangular_notch,0.7285714285714285,0.8429752066115702,57,64,7,1,1,True,True,0.00018428731709718704,0.00018428731709718704
train,21,bins_correct_center_or_offset_bad,rotated_rect,rotated_rect,0.5185185185185185,0.6829268292682927,63,60,-3,1,1,True,True,0.00016761879669502378,0.00016761879669502378
train,22,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.6296296296296297,0.7727272727272727,102,162,60,2,2,True,True,0.00017766888777259737,0.00020389062410686165
train,23,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.6273291925465838,0.7709923664122137,105,157,52,2,2,True,True,0.00017859932268038392,0.0002014059864450246
train,24,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.6928104575163399,0.8185328185328186,120,139,19,2,2,True,True,0.0001849419204518199,0.00019043005886487663
train,25,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch|rotated_rect,0.672316384180791,0.8040540540540541,140,156,16,3,3,True,True,0.0002207262247490386,0.0002698641619645059
train,26,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.6486486486486487,0.7868852459016393,105,139,34,2,2,True,True,0.00022647281002718955,0.00026504654670134187
train,27,rare_y_bin_wrong,rotated_rect,rotated_rect,0.7619047619047619,0.8648648648648649,137,122,-15,1,1,True,True,0.0001062850933521986,0.0001062850933521986
train,28,rare_y_bin_wrong,rotated_rect,rotated_rect,0.72,0.8372093023255814,116,142,26,1,1,True,True,0.00015780124522279948,0.00015780124522279948
train,29,rare_y_bin_wrong,rotated_rect,rotated_rect,0.6787878787878788,0.8086642599277978,140,137,-3,1,1,True,True,0.00014057711814530194,0.00014057711814530194
val,0,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.18769230769230769,0.3160621761658031,238,534,296,1,1,True,True,0.002858606167137623,0.002858606167137623
val,1,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.0,0.0,210,928,718,1,1,True,False,0.00605638325214386,0.00605638325214386
val,2,x_bin_wrong_like,rotated_rect,rotated_rect,0.028081123244929798,0.054628224582701064,217,442,225,1,1,True,True,0.006021449342370033,0.006021449342370033
val,3,both_bins_wrong_like,multi_defect,rotated_rect|rectangular_notch,0.0021326095385808454,0.0042561423873089576,152,5017,4865,2,2,True,True,0.01578045915812254,0.021992431953549385
val,4,both_bins_wrong_like,rotated_rect,rotated_rect,0.0,0.0,96,775,679,1,1,True,False,0.006036589853465557,0.006036589853465557
val,5,bins_correct_center_or_offset_bad,rectangular_notch,rectangular_notch,0.04341317365269461,0.08321377331420372,76,621,545,1,1,True,True,0.005615617614239454,0.005615617614239454
val,6,bins_correct_center_or_offset_bad,rotated_rect,rotated_rect,0.04219745222929936,0.08097784568372804,74,1235,1161,1,1,True,False,0.005812356248497963,0.005812356248497963
val,7,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.012396694214876033,0.024489795918367346,105,385,280,2,1,False,False,0.019812379963696003,0.034384384751319885
val,8,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.015306122448979591,0.03015075376884422,102,6664,6562,2,3,False,True,0.009434554725885391,0.010244607925415039
val,9,rare_y_bin_wrong,rotated_rect,rotated_rect,0.0,0.0,132,279,147,1,1,True,True,0.004252454731613398,0.004252454731613398
test,0,x_bin_wrong_like,rotated_rect,rotated_rect,0.3898916967509025,0.561038961038961,202,183,-19,1,1,True,True,0.0010480775963515043,0.0010480775963515043
test,1,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.0,0.0,224,103,-121,1,1,True,True,0.0017621670849621296,0.0017621670849621296
test,2,x_bin_wrong_like,rectangular_notch,rectangular_notch,0.14666666666666667,0.2558139534883721,204,742,538,1,1,True,True,0.0015658128540962934,0.0015658128540962934
test,3,both_bins_wrong_like,multi_defect,rotated_rect|rectangular_notch,0.0924092409240924,0.1691842900302115,160,502,342,2,2,True,True,0.002054460346698761,0.0026524122804403305
test,4,both_bins_wrong_like,rotated_rect,rotated_rect,0.1900958466453674,0.3194630872483222,120,625,505,1,1,True,True,0.0024148086085915565,0.0024148086085915565
test,5,bins_correct_center_or_offset_bad,rotated_rect,rotated_rect,0.03657074340527578,0.07056101792943899,61,1668,1607,1,1,True,True,0.004335449077188969,0.004335449077188969
test,6,bins_correct_center_or_offset_bad,rotated_rect,rotated_rect,0.030592734225621414,0.059369202226345084,71,468,397,1,1,True,False,0.008325653150677681,0.008325653150677681
test,7,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.0023603461841070024,0.004709576138147566,109,1165,1056,2,1,False,True,0.01838546944782138,0.028428325429558754
test,8,geometry_or_type_interaction,multi_defect,rotated_rect|rectangular_notch,0.0,0.0,105,868,763,2,2,True,True,0.004213485517539084,0.0047373585402965546
test,9,rare_y_bin_wrong,rotated_rect,rotated_rect,0.00625,0.012422360248447204,140,343,203,1,1,True,True,0.0032520219683647156,0.0032520219683647156
