metric,reference_label,current_label,reference_value,current_value,delta,improved,direction,notes
total_normalized_mae,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,0.6780143536818333,0.5983086842565964,-0.07970566942523682,True,lower,validation-only seed selection; test final only for selected seed
total_normalized_mae,20.77_original_candidate,F1_late_fusion::seed123,0.6780143536818333,0.5983086842565964,-0.07970566942523682,True,lower,validation-only seed selection; test final only for selected seed
total_normalized_mae,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,0.6540464762693796,0.5983086842565964,-0.05573779201278317,True,lower,validation-only seed selection; test final only for selected seed
total_normalized_mae,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,0.667888397971789,0.5983086842565964,-0.06957971371519256,True,lower,validation-only seed selection; test final only for selected seed
L_mae_mm,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,1.8918915996566796,1.81666661073,-0.07522498892667961,True,lower,validation-only seed selection; test final only for selected seed
L_mae_mm,20.77_original_candidate,F1_late_fusion::seed123,1.8918915996566796,1.81666661073,-0.07522498892667961,True,lower,validation-only seed selection; test final only for selected seed
L_mae_mm,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,1.9136665956332133,1.81666661073,-0.09699998490321327,True,lower,validation-only seed selection; test final only for selected seed
L_mae_mm,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,2.0303866893817215,1.81666661073,-0.2137200786517215,True,lower,validation-only seed selection; test final only for selected seed
W_mae_mm,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,2.1857599088778863,1.6572950262671862,-0.5284648826107001,True,lower,validation-only seed selection; test final only for selected seed
W_mae_mm,20.77_original_candidate,F1_late_fusion::seed123,2.1857599088778863,1.6572950262671862,-0.5284648826107001,True,lower,validation-only seed selection; test final only for selected seed
W_mae_mm,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,1.9917513088156016,1.6572950262671862,-0.3344562825484154,True,lower,validation-only seed selection; test final only for selected seed
W_mae_mm,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,1.8066299970333393,1.6572950262671862,-0.1493349707661531,True,lower,validation-only seed selection; test final only for selected seed
D_mae_mm,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,0.8002313476246901,0.654960290934795,-0.14527105668989504,True,lower,validation-only seed selection; test final only for selected seed
D_mae_mm,20.77_original_candidate,F1_late_fusion::seed123,0.8002313476246901,0.654960290934795,-0.14527105668989504,True,lower,validation-only seed selection; test final only for selected seed
D_mae_mm,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,0.9674908621953084,0.654960290934795,-0.3125305712605134,True,lower,validation-only seed selection; test final only for selected seed
D_mae_mm,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,0.9566183099761988,0.654960290934795,-0.30165801904140377,True,lower,validation-only seed selection; test final only for selected seed
wMAE,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,0.20107580616306037,0.1832490841476008,-0.017826722015459567,True,lower,validation-only seed selection; test final only for selected seed
wMAE,20.77_original_candidate,F1_late_fusion::seed123,0.20107580616306037,0.1832490841476008,-0.017826722015459567,True,lower,validation-only seed selection; test final only for selected seed
wMAE,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,0.18572381000297192,0.1832490841476008,-0.0024747258553711182,True,lower,validation-only seed selection; test final only for selected seed
wMAE,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,0.19448333899848735,0.1832490841476008,-0.011234254850886555,True,lower,validation-only seed selection; test final only for selected seed
wLD_abs_error,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,0.2094394748027508,0.20337820817262697,-0.006061266630123824,True,lower,validation-only seed selection; test final only for selected seed
wLD_abs_error,20.77_original_candidate,F1_late_fusion::seed123,0.2094394748027508,0.20337820817262697,-0.006061266630123824,True,lower,validation-only seed selection; test final only for selected seed
wLD_abs_error,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,0.1975561517935533,0.20337820817262697,0.005822056379073681,False,lower,validation-only seed selection; test final only for selected seed
wLD_abs_error,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,0.21707869340211916,0.20337820817262697,-0.013700485229492188,True,lower,validation-only seed selection; test final only for selected seed
wWD_abs_error,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,0.20446911683449379,0.18982338446837205,-0.014645732366121739,True,lower,validation-only seed selection; test final only for selected seed
wWD_abs_error,20.77_original_candidate,F1_late_fusion::seed123,0.20446911683449379,0.18982338446837205,-0.014645732366121739,True,lower,validation-only seed selection; test final only for selected seed
wWD_abs_error,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,0.1913395753273597,0.18982338446837205,-0.0015161908589876594,True,lower,validation-only seed selection; test final only for selected seed
wWD_abs_error,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,0.20230379012914804,0.18982338446837205,-0.01248040566077599,True,lower,validation-only seed selection; test final only for selected seed
wLW_abs_error,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,0.18931882809369993,0.15654565737797663,-0.032773170715723304,True,lower,validation-only seed selection; test final only for selected seed
wLW_abs_error,20.77_original_candidate,F1_late_fusion::seed123,0.18931882809369993,0.15654565737797663,-0.032773170715723304,True,lower,validation-only seed selection; test final only for selected seed
wLW_abs_error,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,0.16827570016567522,0.15654565737797663,-0.011730042787698597,True,lower,validation-only seed selection; test final only for selected seed
wLW_abs_error,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,0.1640675358283214,0.15654565737797663,-0.007521878450344771,True,lower,validation-only seed selection; test final only for selected seed
profile_depth_rmse_m,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,0.0003877372636895579,0.00031723830369838443,-7.049895999117347e-05,True,lower,validation-only seed selection; test final only for selected seed
profile_depth_rmse_m,20.77_original_candidate,F1_late_fusion::seed123,0.0003877372636895579,0.00031723830369838443,-7.049895999117347e-05,True,lower,validation-only seed selection; test final only for selected seed
profile_depth_rmse_m,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,0.00044518171694690886,0.00031723830369838443,-0.00012794341324852442,True,lower,validation-only seed selection; test final only for selected seed
profile_depth_rmse_m,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,0.00044529733223988354,0.00031723830369838443,-0.0001280590285414991,True,lower,validation-only seed selection; test final only for selected seed
er_like_profile_error,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,0.3405436946031375,0.267248032710109,-0.0732956618930285,True,lower,validation-only seed selection; test final only for selected seed
er_like_profile_error,20.77_original_candidate,F1_late_fusion::seed123,nan,0.267248032710109,,,lower,validation-only seed selection; test final only for selected seed
er_like_profile_error,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,0.431187,0.267248032710109,-0.163938967289891,True,lower,validation-only seed selection; test final only for selected seed
er_like_profile_error,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,nan,0.267248032710109,,,lower,validation-only seed selection; test final only for selected seed
projected_mask_iou,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,0.7506502455785019,0.7935642349714035,0.042913989392901586,True,higher,validation-only seed selection; test final only for selected seed
projected_mask_iou,20.77_original_candidate,F1_late_fusion::seed123,0.7506502455785019,0.7935642349714035,0.042913989392901586,True,higher,validation-only seed selection; test final only for selected seed
projected_mask_iou,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,0.769352875827035,0.7935642349714035,0.02421135914436845,True,higher,validation-only seed selection; test final only for selected seed
projected_mask_iou,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,0.77454093657963,0.7935642349714035,0.019023298391773524,True,higher,validation-only seed selection; test final only for selected seed
projected_mask_dice,20.85_formal_rerun_20.77_protocol,F1_late_fusion::seed123,0.8477271366767738,0.8779418370229879,0.030214700346214096,True,higher,validation-only seed selection; test final only for selected seed
projected_mask_dice,20.77_original_candidate,F1_late_fusion::seed123,0.8477271366767738,0.8779418370229879,0.030214700346214096,True,higher,validation-only seed selection; test final only for selected seed
projected_mask_dice,24.1_NLS_lite_feature_baseline,F1_late_fusion::seed123,0.8629883531612551,0.8779418370229879,0.014953483861732786,True,higher,validation-only seed selection; test final only for selected seed
projected_mask_dice,20.81_feature_fusion_visual_comparator,F1_late_fusion::seed123,0.8665725224434271,0.8779418370229879,0.011369314579560807,True,higher,validation-only seed selection; test final only for selected seed
