sample_index,defect_type,true_area,pred_area,area_ratio,area_error,iou,dice,center_error
8,polygon,3.228266875027714,15.94337461393404,4.938679245283019,3.938679245283019,0.18327067669172933,0.30976965845909454,1.6579434871673584
172,polygon,1.2943522847988476,6.075841901585179,4.694117647058824,3.6941176470588237,0.1152073732718894,0.2066115702479339,1.5095789432525635
77,polygon,3.685097093192013,15.94337461393404,4.3264462809917354,3.3264462809917354,0.08501683501683502,0.15671062839410396,1.9739406108856201
21,polygon,0.5786516096747789,2.4059724823319755,4.157894736842105,3.1578947368421053,0.0,0.0,1.9388995170593262
70,polygon,1.035481827839078,4.248521028927982,4.102941176470588,3.1029411764705883,0.22614840989399293,0.3688760806916426,0.25702807307243347
130,polygon,1.3400353066152775,5.46673494403278,4.079545454545454,3.0795454545454546,0.23822714681440443,0.38478747203579416,0.3581007122993469
12,polygon,0.4720578921031091,1.9186869162900564,4.064516129032258,3.064516129032258,0.0979020979020979,0.17834394904458598,0.7847878336906433
27,ellipse,4.735806594969901,19.141186141084134,4.041800643086817,3.0418006430868165,0.22118380062305296,0.3622448979591837,1.1093319654464722
93,polygon,3.761235462886063,14.192192110970893,3.7732793522267207,2.7732793522267207,0.08065994500458296,0.14927905004240882,2.1736538410186768
142,polygon,1.4009460023705174,5.20786448707301,3.717391304347826,2.717391304347826,0.23295454545454544,0.3778801843317972,0.680420994758606
